2025-10-29 04:58:22 INFO  👉 initialize() [lib.rs:13]
2025-10-29 04:58:22 DEBUG read the environment variables. [lib.rs:18]
2025-10-29 04:58:22 DEBUG  - =::="::\" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - =D:="D:\workspace\H2541_gui" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - ACLOCAL_PATH="C:\Program Files\Git\mingw64\share\aclocal;C:\Program Files\Git\usr\share\aclocal" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - ALLUSERSPROFILE="C:\ProgramData" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - APPDATA="C:\Users\H5495\AppData\Roaming" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CAPA="200000" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO="C:\Users\H5495\.rustup\toolchains\stable-x86_64-pc-windows-msvc\bin\cargo.exe" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_HOME="C:\Users\H5495\.cargo" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_MANIFEST_DIR="D:\workspace\H2541_gui\src-tauri" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_MANIFEST_PATH="D:\workspace\H2541_gui\src-tauri\Cargo.toml" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_AUTHORS="you" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_DESCRIPTION="A Tauri App" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_HOMEPAGE="" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_LICENSE="" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_LICENSE_FILE="" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_NAME="h2541_gui" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_README="" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_REPOSITORY="" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_RUST_VERSION="" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_VERSION="0.1.0" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_VERSION_MAJOR="0" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_VERSION_MINOR="1" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_VERSION_PATCH="0" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_PKG_VERSION_PRE="" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_TERM_PROGRESS_WHEN="always" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CARGO_TERM_PROGRESS_WIDTH="60" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CHROME_CRASHPAD_PIPE_NAME="\\.\pipe\crashpad_31980_KEJJNDUBUNNRBUSP" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - COLOR="1" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - COLORTERM="truecolor" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - COMMONPROGRAMFILES="C:\Program Files\Common Files" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CommonProgramFiles(x86)="C:\Program Files (x86)\Common Files" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CommonProgramW6432="C:\Program Files\Common Files" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - COMPUTERNAME="SMARTNAV" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - COMSPEC="C:\WINDOWS\system32\cmd.exe" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - CONFIG_SITE="C:/Program Files/Git/etc/config.site" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - DISPLAY="needs-to-be-defined" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - DriverData="C:\Windows\System32\Drivers\DriverData" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - EDITOR="C:\WINDOWS\notepad.exe" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - EFC_9804_1592913036="1" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - EXEPATH="C:\Program Files\Git" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - GDAL_DATA="C:\Program Files\PostgreSQL\10\gdal-data" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - GEOSERVER_DATA_DIR="C:\Program Files (x86)\GeoServer 2.13.3\data_dir" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - GEOSERVER_HOME="C:\Program Files\GeoServer" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - GIT_ASKPASS="d:\VSCode\VSCode-win32-x64-1.105.1\resources\app\extensions\git\dist\askpass.sh" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - HOME="C:\Users\H5495" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - HOMEDRIVE="C:" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - HOMEPATH="\Users\H5495" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - HOST="192.168.200.10:9042" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - HOSTNAME="smartnav" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - IAS="56dab86b-1053-4814-bc33-5eac480889f1" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - IMO="9970571" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - INFOPATH="C:\Program Files\Git\mingw64\local\info;C:\Program Files\Git\mingw64\share\info;C:\Program Files\Git\usr\local\info;C:\Program Files\Git\usr\share\info;C:\Program Files\Git\usr\info;C:\Program Files\Git\share\info" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - INIT_CWD="D:\workspace\H2541_gui" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - JAVA_HOME="C:\Program Files\Java\jdk1.8.0_202" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - LANG="en_US.UTF-8" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - LC_CTYPE="ko_KR.UTF-8" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - LD_LIBRARY_PATH="C:\Users\H5495\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - LOCALAPPDATA="C:\Users\H5495\AppData\Local" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - LOGONSERVER="\\SMARTNAV" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - MANPATH="C:\Program Files\Git\mingw64\local\man;C:\Program Files\Git\mingw64\share\man;C:\Program Files\Git\usr\local\man;C:\Program Files\Git\usr\share\man;C:\Program Files\Git\usr\man;C:\Program Files\Git\share\man" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - MCR_PWR="14365" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - MCR_RPM="72.2" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - ME_MODEL="MAN B&W 6G70ME-C10.5-GI x 2" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - MINGW_CHOST="x86_64-w64-mingw32" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - MINGW_PACKAGE_PREFIX="mingw-w64-x86_64" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - MINGW_PREFIX="C:/Program Files/Git/mingw64" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - MSYSTEM="MINGW64" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - MSYSTEM_CARCH="x86_64" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - MSYSTEM_CHOST="x86_64-w64-mingw32" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - MSYSTEM_PREFIX="C:/Program Files/Git/mingw64" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - NODE="C:\Program Files\nodejs\node.exe" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_command="run" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_config_cache="C:\Users\H5495\AppData\Local\npm-cache" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_config_globalconfig="C:\Users\H5495\AppData\Roaming\npm\etc\npmrc" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_config_global_prefix="C:\Users\H5495\AppData\Roaming\npm" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_config_init_module="C:\Users\H5495\.npm-init.js" [lib.rs:20]
2025-10-29 04:58:22 DEBUG  - npm_config_local_prefix="D:\workspace\H2541_gui" [lib.rs:20]
