item,device,tag,unit
Draft FWD,IAS,DRAFT_FWD/Meas1/PRIM,m
Draft Aft,IAS,DRAFT_AFT/Meas1/PRIM,m
LNG Volume,IAS,TotalLiq/Meas1/PRIM,m3
LNG Temperature CT1,IAS,CTS.CT1.TMP.LIQ/Meas1/PRIM,°C
LNG Temperature CT2,IAS,CTS.CT2.TMP.LIQ/Meas1/PRIM,°C
LNG Temperature CT3,IAS,CTS.CT3.TMP.LIQ/Meas1/PRIM,°C
LNG Temperature CT4,IAS,CTS.CT4.TMP.LIQ/Meas1/PRIM,°C
Vapor Header Pressure CT1,IAS,CTS.CT1.PRESS/Meas1/PRIM,mbarA
Vapor Header Pressure CT2,IAS,CTS.CT2.PRESS/Meas1/PRIM,mbarA
Vapor Header Pressure CT3,IAS,CTS.CT3.PRESS/Meas1/PRIM,mbarA
Vapor Header Pressure CT4,IAS,CTS.CT4.PRESS/Meas1/PRIM,mbarA
Main engines average shaft RPM ME1,IAS,STM-003/Meas1/PRIM,rpm
Main engines average shaft RPM ME2,IAS,STM-006/Meas1/PRIM,rpm
Main engines load ME1,IAS,TX010.01/Meas1/PRIM,%
Main engines load ME2,IAS,TX110.01/Meas1/PRIM,%
Main engines average shaft power ME1,IAS,STM-001/Meas1/PRIM,kW
Main engines average shaft power ME2,IAS,STM-004/Meas1/PRIM,kW
Shaft Generator average output power SG1,IAS,PM501.22/Meas1/PRIM,kW
Shaft Generator average output power SG2,IAS,PM601.22/Meas1/PRIM,kW
Main engines LSMGO consumption ME1,IAS,FM-ME1-40100_A/AccValue/PRIM,tons
Main engines LSMGO consumption ME2,IAS,FM-ME2-40100_A/AccValue/PRIM,tons
Main engines BOG consumption ME1,IAS,GM045.02/AccValue/PRIM,tons
Main engines BOG consumption ME2,IAS,GM046.02/AccValue/PRIM,tons
GE Alternators average output power Alternator1,IAS,PM101.03/Meas1/PRIM,kW
GE Alternators average output power Alternator2-1,IAS,PM201.03/Meas1/PRIM,kW
GE Alternators average output power Alternator2-2,IAS,PM211.03/Meas1/PRIM,kW
GE Alternators average output power Alternator3,IAS,PM301.03/Meas1/PRIM,kW
Generators Fuel Gas consumption,IAS,GE006.02/AccValue/PRIM,tons
Generator Engins LSMGO flow in,IAS,OE012.02/AccValue/PRIM,tons
GE Alternator flow in,IAS,FM-DG_40100.02/AccValue/PRIM,tons
GE Alternator flow out,IAS,FM-DG_40101.02/AccValue/PRIM,tons
Total LSMGO consumption AB,IAS,OB001.02/AccValue/PRIM,tons
Total flow through GCU,IAS,GC029.02/AccValue/PRIM,tons
Total flow through Vent mast,IAS,GH024.02/AccValue/PRIM,tons
Total flow reliquefied,IAS,FR029.02/AccValue/PRIM,tons
Total flow forcing vaporizer outlet,IAS,FV010.05/AccValue/PRIM,tons
Average longitudinal water speed (Log),VDVBW,longitudinal_water_speed,knots
Average transverse water speed (Log),VDVBW,traverse_water_speed,knots
Wind speed,YXMWV,wind_speed,m/s
Wind direction,YXMWV,wind_angle,°
Speed over ground (GPS),GPVTG,speed_knots,knots
Course over ground,GPVTG,true_course,°
Heading,HEHDT,heading,°
